Year,Month,Taylor_River,Mud_Creek,McCormick_Creek,Trout_Creek,West_Highway_Creek,Barron_River,Turner_River,Lopez_River,Chatham_River,Lostmans_River,Broad_River,Shark_River,North_River,East_Side_Creek,Joe_Bay_2E
2005,4,41.17,41.55,42.95,39.69,35.78,28.53,32.73,34.75,35.03,32.49,23.05,26.99,17.21,37.07,34.1
2005,5,46.96,45.67,49.64,44.45,39.47,35.49,37.42,37.7,37.28,35.84,29.34,30.15,24.6,39.36,42.47
2005,6,40.64,38.02,48.39,31.71,20.57,15.05,18.92,22.31,25.19,24.76,17.34,17.19,11.83,35.41,16.28
2005,7,21.06,15.83,34.42,13.06,5.11,1.91,2.76,3.82,6.08,5.26,1.56,7.48,0.83,32.01,1.74
2005,8,20.03,16.72,32.83,16.58,8.11,2.52,4,5.79,6.89,4.46,1.13,4.65,0.88,32.03,6.28
2005,9,7.54,1.84,12.07,1.95,0.99,3.38,4.79,6.05,7.33,3.37,0.68,3.14,0.3,31.85,1.44
2005,10,4.8,3.85,7.52,5.87,2.78,4.48,5.92,6.66,8.01,4.13,1.94,4.29,0.39,31.88,2.99
2005,11,6.57,4.1,11.1,9.14,7.8,6.6,9.96,12.56,12.48,8.49,1.4,5.54,1.11,32.1,1.72
2005,12,11.28,9.89,13.44,13.76,11.99,13.44,16.26,18.12,14.62,8,1.58,7.04,1.78,32.31,2.37
2006,1,13.77,15.89,18.46,17.21,17.11,17.31,24.67,25.14,21.49,15.39,2.88,9.9,4.37,33.1,7.27
2006,2,15.92,19.2,22.44,20.68,19.93,12.06,22.72,25.15,22.85,12.05,3.19,10.53,7.01,33.92,14.33
2006,3,20.68,24.27,28.73,26.36,24.79,23.76,28.04,28.89,27.33,18.9,5.12,16.49,12.01,35.47,21.29
2006,4,26.95,28.95,37.56,30.48,28.85,33.27,34.47,34.4,32.79,28.53,15.42,24.19,18.53,37.48,27.18
2006,5,32.28,32.68,43.03,33.68,32.81,34.11,34.96,36.45,36.17,34.47,24.66,28.25,22.34,38.66,32.96
2006,6,31.64,34.24,40.65,34.18,35.92,25.4,28.15,32.12,32.2,28.2,15.9,17.93,8.6,34.41,32.63
2006,7,12.14,14.48,28.92,18.91,13.42,7.55,10.26,13.58,13.95,8.8,2.73,4.79,1.17,32.12,7.16
2006,8,8.5,8.86,20.46,11.8,7.96,5.79,7.4,9.34,8.17,9.45,2.46,9.02,1.33,32.17,2.07
2006,9,6.34,1.33,8.91,3.43,1.16,1.19,1.65,2.37,4.34,3.28,0.83,4.98,0.49,31.91,0.65
2006,10,12.5,11.86,15.72,13.65,10.36,6.04,9.46,11.7,12.57,11.51,3.59,12.62,1.99,32.37,4.71
2006,11,17.17,17.41,18.57,19.39,18.44,14.43,18.87,20.77,20.54,14.9,4.03,13.3,3.82,32.94,6.65
2006,12,20.74,22.6,21.6,23.47,23.45,20.7,25.9,26.21,26.4,17.8,4.98,14.05,5.19,33.36,14.13
2007,1,22.65,25.9,24.79,26.75,26.1,26.39,29.76,29.75,29.53,21.88,8.41,16.22,8.74,34.46,20.1
2007,2,23.87,26.57,24.91,27.34,25.6,28.11,31.38,31.89,31.14,25.06,9.65,17.84,9.56,34.71,20.54
2007,3,27.51,30.47,29.01,30.44,28.76,30.48,35.54,35.21,34.39,28.62,15.56,23.3,14.79,36.33,25.76
2007,4,28.52,30.86,31.45,29.66,30.24,31.28,36.4,36.1,36.43,29.34,14.94,20.84,16.39,36.82,21.03
2007,5,30.35,33.37,34.73,32.85,33.39,31.79,34.21,35.8,36.45,32.13,18.7,25.66,16.83,36.95,26.57
2007,6,21.74,21.4,28.66,20.66,14.91,25.5,26.55,28.9,26.74,19.2,9.72,17.16,10.64,35.04,13.25
2007,7,9.06,4.32,20.66,5.37,1.3,16.77,15.93,18.72,17.49,9.74,2.97,13.03,4.46,33.13,0.77
2007,8,11.04,8.47,22.43,8.89,3.26,12.85,12.87,13.75,14.2,12.16,3.29,13.53,4.48,33.14,1.19
2007,9,15.01,13.74,25.17,17.58,9.5,8.3,10.31,10.81,12.66,11.55,4.33,15.63,6.33,33.71,10.9
2007,10,3.04,2.94,9.19,4.15,1.93,10.27,10.88,13.06,13.65,13.28,4.64,13.52,2.98,32.68,0.79
2007,11,9.52,9.36,10.15,11.25,14.78,18.99,19,21.5,20.63,18.53,8,16.95,4.46,33.13,2.83
2007,12,12.06,15.78,13.24,19.49,17.8,26.51,27.13,27.98,26.84,24.3,10.97,19.55,7.84,34.18,11.14
2008,1,16.37,21.01,19.78,23.07,22.67,31.85,32.53,33.49,31.97,30.17,19.53,23.79,12.2,35.52,18.84
2008,2,20.51,24.45,22.96,24.99,25.12,23.89,23.75,26.54,30.34,29.56,22.28,26.27,17.18,37.06,21.04
2008,3,23.43,27.42,24.38,28.38,27.96,24.17,21.86,24.43,28.42,30.31,25.45,28.66,20.8,38.18,25.08
2008,4,26.84,30.36,32.49,31.1,32.06,25.41,24.38,26.76,30.17,30.85,23.64,25.52,23.32,38.96,27.61
2008,5,32.96,36.18,37.79,36.47,36.6,35.85,34.72,35.69,34.25,36.23,28.39,31.05,29.91,40.99,36.44
2008,6,35.19,38.09,41.88,37.71,34.91,25.8,29.62,33.63,33.47,32.25,15.6,22.45,25.63,39.67,33.96
2008,7,34.6,35.27,39.05,29.71,20.82,8.12,9.86,14.65,20.24,14.4,2.88,13.19,14.29,36.17,14.88
2008,8,32.95,33.25,33.57,28.84,19.05,7.48,5.88,6.96,9.68,7.81,3.02,10.65,5.75,33.53,19.1
2008,9,21.46,17.14,25.6,16.24,20.54,4.55,4.5,4.62,7.58,6.12,1.6,9.12,1.12,32.1,10.28
2008,10,10.75,7.38,19.92,8.42,14.18,3.93,5.19,5.95,8.79,3.61,0.88,5.25,0.56,31.93,3.58
2008,11,17.39,12.15,19.76,15.47,18.62,14.33,15.99,16.03,14.76,7.06,1.33,8.25,0.73,31.98,2.06
2008,12,15.6,14.84,20.03,14.47,17.87,19.85,22.34,22.1,19.9,7.47,1.96,8.76,1.46,32.21,1.86
2009,1,16.22,20.51,21.7,23.56,24.08,25.15,28,28.23,25.13,14.42,3.4,11.08,2.25,32.45,6.92
2009,2,21.19,25.33,28.36,28.45,29.61,31.33,33.84,34.01,31.31,23.8,8.74,18.48,5.16,33.39,19.99
2009,3,27.77,33.39,37.93,34.31,33.96,37.25,37.51,37.3,35.4,31.08,19.47,26.38,14.42,35.21,29.17
2009,4,36.49,39.2,40.26,38.16,38.34,38.89,39.31,39.24,38.36,34.9,27.08,29.42,22.79,38.48,37.13
2009,5,42.24,42.75,48.31,41.56,40.52,39.47,40.76,40.65,39.92,37.27,31.13,32.88,31.48,43.5,40.81
2009,6,28.12,25.03,39.79,20.76,9.57,30.07,35.63,35.93,35.33,32.38,16.61,16.6,13.91,37.73,4.34
2009,7,16.32,9.31,33.7,11.11,10.26,11.28,18.26,22.49,24.05,14.41,3.45,7.66,1.21,32.68,1.14
2009,8,13.31,13.55,32.52,18.62,10.34,5.28,9.73,11.69,14.33,11.09,4.14,10.02,1.26,34.5,4.95
2009,9,16.28,9.04,20.34,11.17,8.36,4.39,8.37,9,11.17,8.62,2.52,10.35,0.62,36.28,4.87
2009,10,14.52,9.15,14.25,9.77,9.74,5.86,9.35,11.56,14.16,9.64,2.84,9.49,0.99,36.29,1.75
2009,11,20.49,17.98,21.09,19.16,21.53,15.93,19.67,22.22,22.7,16.35,6.75,14.17,3.2,31.67,10.66
2009,12,15.59,10.21,15.11,11.67,9.77,11.41,18.2,22.77,23.97,14.55,5.66,11.57,1.93,28.88,2.31
2010,1,16.86,13.22,13.91,16.58,14.99,14.47,20.83,23.31,24.48,16.24,5.97,12.55,1.98,28.85,2.87
2010,2,16.9,12.16,13.93,14.01,16.43,11.69,21.59,24.94,25.72,20.97,8.17,15.64,3.7,32.4,1.54
2010,3,18.83,15.74,17.45,18.06,19.79,14.47,25.8,28.01,28.65,26.06,12.76,19.77,6.26,31.74,6.25
2010,4,20.87,22.47,24.7,21.74,21.56,7.77,17.85,25.62,29.83,25.69,11.09,19.27,9.12,33.34,13.6
2010,5,24.1,26.7,31.08,23.99,22.94,18.77,23.58,26.78,29.8,26.39,14.5,23.22,15.04,37.33,16.39
2010,6,27.96,29,32.7,25.57,18.63,25.05,27.73,29.04,31.05,26.33,10.41,21.3,18.38,36.4,13.38
2010,7,25.17,24.55,32.54,19.08,15.3,11.05,14.84,16.97,23.5,19.31,4.55,13.37,7.61,35.27,5.43
2010,8,17.67,15.57,27.62,15.85,11.72,8.32,12.01,12.92,17.44,12.78,4.39,11.16,2.01,32.38,7.12
2010,9,9.08,8.12,16.95,8.5,6.83,3.56,6.04,5.98,9.94,6.87,2.52,10.88,1.45,35.06,4.71
2010,10,7.48,3.74,5.76,3.45,6.49,9.99,14.18,14.57,15.3,10.75,3.45,9.13,0.94,33.43,0.36
2010,11,10.16,10.43,9.04,10.46,10.21,20.07,21.62,21.42,20.31,13.29,3.94,10.95,1.41,27.18,2.61
2010,12,14.28,13.75,10.86,15.3,16.77,25.08,26.19,28.04,25.04,18.42,5,13.44,3.42,29.41,4.87
2011,1,15.25,15.84,14.51,17.58,19.69,27.88,29.99,30.94,29.02,23.06,7.77,15.19,5.97,30.03,8.97
2011,2,14.58,16.88,17.56,19.26,21.3,29.95,31.65,32.49,31.1,26.34,10.7,18.11,7.16,29.25,12.75
2011,3,20.2,23.15,26.49,25.28,25.93,34.39,34.97,35.17,34.32,31.99,20.25,25.74,16.25,30.83,19.86
2011,4,26.02,28.61,34.83,29.98,30.49,37.16,37.69,37.88,36.62,33.86,26.45,30.67,24.18,32.09,26.52
2011,5,32,33.83,42.68,34.64,36.15,37.19,39.04,39.72,37.59,35.15,29.89,31.32,28.42,37.27,32
2011,6,37.88,39.74,47.34,39.52,39.45,36.01,40.03,40.73,39.13,37.18,30.69,31.17,30.43,41.92,39.18
2011,7,34.36,35.62,35.84,30.14,28.88,26.68,31.97,33.73,33.75,27.16,14.22,20.71,17.19,39.66,20.41
2011,8,30.86,28.55,38.8,28.48,26.35,17.39,17.74,20.51,24.22,19.54,8.66,17.64,12.52,34.34,17.77
2011,9,20.9,15.37,34.35,17.34,14.67,4.88,7.7,8.98,13.82,12.75,4.23,11.43,4.62,31.73,9.04
2011,10,10.75,7.96,22.97,9.46,9.26,5.98,8,8.81,12.11,11.05,5.35,9.94,3.02,31.09,1.77
2011,11,9.46,6.96,15.77,9.2,15.15,4.83,6.8,8.43,11.47,10.58,3.06,10.02,1.78,27.79,1.54
2011,12,13.85,13.6,17.21,16.23,21.03,13.69,15,16.17,15.36,11.33,2.27,9.98,2.41,31.24,5.92
2012,1,17.06,20.64,20.67,23.36,25.35,22.52,22.5,23.67,21.55,16.34,4.59,12.93,5.37,32.11,15.4
2012,2,22.44,25.89,25.99,23.68,24.07,29.46,28.44,29.7,27.65,23.5,10.35,19.09,10.25,34.04,16.48
2012,3,26.55,28.96,29.62,25.82,26.8,31.57,30.73,32.16,31.3,27.59,17.09,23.49,13.77,38.33,20.71
2012,4,30.62,31.55,32.43,30.45,29.6,33.66,33.77,34.65,35.02,32.75,24.72,27.74,22.88,39.76,25.06
2012,5,19.37,17.8,22.54,13.15,10.44,26,33.09,33.57,33.9,29.39,14.56,20.35,11.94,34.57,3.55
2012,6,8.31,6.77,17.27,7.98,8.23,17.16,28.19,26.52,30.33,22.33,9.05,14.48,4.83,33.23,3.33
2012,7,3.48,2.09,13.8,2.67,1.71,11.36,19.16,21.09,20.08,11.58,3.56,8.42,1.2,31.81,0.71
2012,8,2.9,1.74,10.56,1.22,2.74,13.8,16.66,16.66,16.64,11.6,3.5,9.96,1.14,32.39,0.37
2012,9,2.5,1.66,7.12,1.15,2.93,6.04,6.28,7.49,9.41,5.04,1.44,6.74,0.68,29.19,0.3
2012,10,5.81,5.68,9.59,8.22,10.56,4.56,5.11,6.97,8.06,6.74,4.26,8.72,1.34,30.49,2.77
2012,11,13.66,9.8,13.51,11.85,18.6,17.08,15.77,17.29,14.76,8.67,3.15,10.25,1.67,31.48,6.13
2012,12,12.63,11.25,14.76,15.25,21.06,18.56,19.95,23.07,21.5,11.27,2.49,9.64,1.58,32.06,5.59
2013,1,12.86,14.8,15.36,18.59,23.62,24.57,25.28,26.86,25.74,14.71,3.83,12.63,3.91,34.42,10.19
2013,2,17.37,21.12,20.58,24.27,28.13,28.18,30.64,31.36,29.36,21.58,8.82,17.48,9.07,35.55,17.78
2013,3,21.48,23.98,23.71,25.4,29.55,31.89,33.83,34.2,32.45,27.21,13,22.24,13.58,36.22,20.96
2013,4,23.33,26.34,28.12,26.03,29.73,31.43,34.63,35.6,34.12,29.21,15.64,23.03,12.71,36.4,18.91
2013,5,27.18,29.45,28.26,30.57,31.87,30.83,32.97,34.48,34.53,27.02,15.65,21.37,11.84,38.56,23.16
2013,6,5.2,6.86,12.76,8.9,9.9,5.24,12.24,17.56,22.29,7.92,2.18,7.1,0.72,32.68,1.05
2013,7,3.99,4.76,9.49,8.52,6.15,1.4,4.33,6.13,7.33,4.35,1.05,6.22,0.57,31.42,1.45
2013,8,4.92,6.09,6.13,6.63,11.34,3.76,9.02,10.82,10.63,6.7,1.17,9.53,1.22,32.42,0.7
2013,9,7.13,7.84,9.92,9.78,14.53,2.5,6.05,9.17,9.54,4.47,0.86,8.55,1.14,34.75,1.5
2013,10,8.59,9.23,9.74,10.35,19.09,6.28,10.2,12.78,12.31,7.83,2.39,8.07,0.66,32.83,3.27
2013,11,11.68,13.89,12.53,17.06,25.2,17.78,19.58,21.61,20.42,14.75,6.26,11.71,3.19,34.64,7.08
2013,12,10.27,11.97,10.56,15.32,18.08,21.37,23.81,25.72,23.3,17.35,4.82,10.13,4.25,31.75,4.01
2014,1,13.61,16.03,13.3,17.03,20.55,25.75,28.36,29.93,26.47,20.16,6.09,12.78,5.69,33.54,3.03
2014,2,17.16,17.83,16.72,18.46,23.6,27.73,31.49,32.29,28.91,20.29,6.41,15.09,6.08,33.31,7.47
2014,3,20.4,19.5,18.73,19.2,26.32,31.4,34.33,35.44,32.15,25.21,10.55,18.94,9.31,34.99,11.8
2014,4,24.25,25.46,28.78,26.51,31.11,33.6,37.01,37.56,35.95,31.39,17.86,25.59,15.93,36.54,20.2
